"Characteristics ";"Margins";"Periods";"Smoking behaviour, 12 years or older/Smoking status/Smokers (%)";"Smoking behaviour, 12 years or older/Smokers/Daily smokers in the population (%)";"Passive smoking among non-smokers/(Almost) never (%)";"Alcohol consumption, 12 years or older/Guideline alcohol use, 12 plus (%)";"Drugs use, 12 years or older/Use of cannabis/Ever (%)";"Drugs use, 12 years or older/Use of amphetamine/Last month (%)";"Drugs use, 12 years or older/Use of amphetamine/Last year (%)";"Drugs use, 12 years or older/Use of amphetamine/Ever (%)";"Drugs use, 12 years or older/Use of ecstasy/Last month (%)";"Drugs use, 12 years or older/Use of ecstasy/Last year (%)";"Drugs use, 12 years or older/Use of ecstasy/Ever (%)";"Drugs use, 12 years or older/Use of cocaine/Last month (%)";"Drugs use, 12 years or older/Use of cocaine/Last year (%)";"Drugs use, 12 years or older/Use of cocaine/Ever (%)";"Length and weight/Under-/overweight, 4 years or older/Overweight (%)";"Nutrition, 4 years or older/Consumption of fruit/At least 5 days a week sufficient fruit (%)"
"Total persons";"Value";"2015";24,6;18,2;;40,3;20,1;0,4;1,2;3,7;0,9;2,6;6,5;0,6;1,5;3,9;43;37,6
"Sex: Male";"Value";"2015";28,1;20,3;;30,1;24,5;0,6;1,5;5,2;1,1;3,5;8,3;1;2,2;5,7;46,3;33,8
"Sex: Female";"Value";"2015";21,2;16,2;;50,3;15,7;0,2;0,9;2,2;0,7;1,8;4,6;0,3;0,8;2,2;39,9;41,4
"Age: 0 to 3 years";"Value";"2015";;;;;;;;;;;;;;;;
"Age: 4 to 11 years";"Value";"2015";;;;;;;;;;;;;;;12,2;39,5
"Age: 12 to 15 years";"Value";"2015";1,3;0,9;;79,4;4,1;0;0,2;0,2;0;0,2;0,2;0;0;0;12,3;24
"Age: 16 to 19 years";"Value";"2015";24,4;13,4;;28,3;27,2;1,5;2,3;2,8;2,1;3,7;5,3;0,2;0,8;1;11,5;26,3
"Age: 20 to 29 years";"Value";"2015";38,1;22,9;;25,5;42,8;1,1;4;8,1;3,9;9,8;17,5;2,2;4,9;7,5;28,7;32,6
"Age: 30 to 39 years";"Value";"2015";30,1;22,6;;35,3;35,1;0,8;2,3;7,9;0,7;3,8;14;1,3;3,2;9,2;41,9;35,1
"Age: 40 to 49 years";"Value";"2015";26;20;;37;23,1;0,2;0,7;4,2;0,4;1,5;6,9;0,6;1,2;5,6;52,6;33,5
"Age: 50 to 54 years";"Value";"2015";27,8;22,1;;38,3;14,6;0,1;0,5;2,4;0,1;1,5;3,4;0;0,3;3,6;57,7;38,1
"Age: 55 to 64 years";"Value";"2015";26,3;22,3;;38,5;10,4;0;0,1;1,4;0,2;0,5;1,2;0,1;0,1;1,3;59,1;42,2
"Age: 65 to 74 years";"Value";"2015";17,7;14,5;;44,7;3,7;0;0;0,7;0;0,1;0,4;0;0;0,5;61,4;49,1
"Age: 75 years or older";"Value";"2015";8,4;7,7;;62,9;0,9;0;0,2;0,3;0;0;0,2;0,2;0,2;0,2;58,2;48,4
"Age: 0 to 11 years";"Value";"2015";;;;;;;;;;;;;;;12,2;39,5
"Age: 12 to 17 years";"Value";"2015";6,9;4;;63,8;8,7;0,2;0,5;0,6;0,1;0,4;0,5;0;0;0;11;24,9
"Age: 18 years or older";"Value";"2015";26,3;19,5;;38,2;21,1;0,4;1,3;4;1;2,8;7;0,7;1,6;4,3;49,3;38,6
"Level of educ: 1. Low";"Value";"2015";28,5;25,7;;51,4;9,9;0,2;0,6;2,5;0,2;0,8;3,6;0,6;1;3;62,1;38,5
"Level of educ: 2 Intermediate";"Value";"2015";27,3;20,7;;37,1;19,7;0,4;1;4,4;0,4;1,9;6,7;0,5;1,1;4,8;53,9;39,1
"Level of educ: 3 High";"Value";"2015";18,8;11,2;;30,5;27,1;0,2;1,2;3,8;0,8;3,3;7,8;0,7;2;4,7;41,3;41,3
"Level of educ: Unknown";"Value";"2015";17,1;15,7;;68,3;5;0;0;0;0;0;0,7;0;0;0;61,5;37,7
