"Characteristics ";"Margins";"Periods";"Smoking behaviour, 12 years or older/Smoking status/Smokers (%)";"Smoking behaviour, 12 years or older/Smokers/Daily smokers in the population (%)";"Passive smoking among non-smokers/(Almost) never (%)";"Alcohol consumption, 12 years or older/Guideline alcohol use, 12 plus (%)";"Drugs use, 12 years or older/Use of cannabis/Ever (%)";"Drugs use, 12 years or older/Use of amphetamine/Last month (%)";"Drugs use, 12 years or older/Use of amphetamine/Last year (%)";"Drugs use, 12 years or older/Use of amphetamine/Ever (%)";"Drugs use, 12 years or older/Use of ecstasy/Last month (%)";"Drugs use, 12 years or older/Use of ecstasy/Last year (%)";"Drugs use, 12 years or older/Use of ecstasy/Ever (%)";"Drugs use, 12 years or older/Use of cocaine/Last month (%)";"Drugs use, 12 years or older/Use of cocaine/Last year (%)";"Drugs use, 12 years or older/Use of cocaine/Ever (%)";"Drugs use, 12 years or older/Use of drugs, total/Last month (%)";"Drugs use, 12 years or older/Use of drugs, total/Last year (%)";"Drugs use, 12 years or older/Use of drugs, total/Ever (%)";"Length and weight/Under-/overweight, 4 years or older/Overweight (%)";"Nutrition, 4 years or older/Consumption of fruit/At least 5 days a week sufficient fruit (%)"
"Total persons";"Value";"2021";19,4;14,2;82,9;46,2;23,3;0,4;1,2;4,9;0,9;2,9;9,1;0,7;1,9;6;6;10;24,9;44,5;38,8
"Sex: Male";"Value";"2021";23,1;16,9;81;37,7;28,3;0,5;1,4;7;1,2;3,5;11,6;1;2,6;8,5;8,6;12,6;30,3;46,4;34,4
"Sex: Female";"Value";"2021";15,8;11,5;84,7;54,5;18,3;0,3;1;2,8;0,6;2,4;6,6;0,4;1,2;3,6;3,5;7,4;19,6;42,7;43,2
"Age: 0 to 3 years";"Value";"2021";;;96,1;;;;;;;;;;;;;;;;
"Age: 4 to 11 years";"Value";"2021";;;93,4;;;;;;;;;;;;;;;15,5;50,9
"Age: 12 to 15 years";"Value";"2021";2,3;2;80,4;88,5;1,6;0;0;0;0;0;0,3;0;0;0;0,6;1,6;2,1;15,9;26,4
"Age: 16 to 19 years";"Value";"2021";19;8;60,5;38,6;25,4;0,6;0,8;1,3;1,9;4,1;5,1;0,7;1,2;1,6;10,3;20,1;25,6;18,6;28,7
"Age: 20 to 29 years";"Value";"2021";27;14,7;64,9;30;49,1;0,7;4,3;12,7;3,3;11,9;24,9;2,1;6,2;13,6;16,9;29,1;51,8;32;33,9
"Age: 30 to 39 years";"Value";"2021";24,1;16,9;79,3;44,9;41,5;1;2;9,9;1;3,8;17,5;1,2;4;12,9;9,3;15;44;45,9;34
"Age: 40 to 49 years";"Value";"2021";21,1;16,8;82,1;44,6;28,2;0,5;1;6,9;0,7;1,9;13,1;0,8;1,5;8,7;5,1;7,7;30,9;51,7;33,7
"Age: 50 to 54 years";"Value";"2021";22,3;17,4;84,2;43,2;18,6;0,2;0,2;2,5;0,5;0,8;5,8;0,2;0,4;4;4,3;6,2;20,2;56,7;34,3
"Age: 55 to 64 years";"Value";"2021";20,3;17,1;85,3;45;12,7;0,1;0,2;1,7;0,2;0,3;1,7;0,3;0,5;2,3;2,5;3,3;13,9;59,8;41,2
"Age: 65 to 74 years";"Value";"2021";14;13,1;91,1;46,2;7,2;0;0,1;0,8;0;0;0,1;0,1;0,1;1;1,1;1,3;8,1;60,2;45,5
"Age: 75 years or older";"Value";"2021";10,4;8,9;91,1;62,6;1,6;0;0;0;0;0;0;0;0;0;0,1;0,5;2;53;52,8
"Age: 0 to 11 years";"Value";"2021";;;94,2;;;;;;;;;;;;;;;15,5;50,9
"Age: 12 to 17 years";"Value";"2021";6,4;2,5;74,4;71,2;8,4;0;0,2;0,2;0,4;1;1,1;0;0,2;0,2;2,5;6,8;8,7;16,3;27,3
"Age: 18 years or older";"Value";"2021";20,6;15,2;81,6;44;24,6;0,4;1,3;5,3;1;3,1;9,8;0,8;2;6,5;6,3;10,2;26,3;50;38,5
"Level of educ: 1. Low";"Value";"2021";23,6;21,4;83,7;57,1;11,3;0,2;0,5;3,2;0,4;0,8;4,4;0,7;0,7;4,1;3,5;4,5;12,7;60,7;41,5
"Level of educ: 2 Intermediate";"Value";"2021";22,8;17,7;81,3;43,6;22,6;0,3;1;5;0,9;2,1;8,9;0,4;1,4;6,1;5,7;8,6;24;57,7;35,5
"Level of educ: 3 High";"Value";"2021";14,2;8,6;86;38,5;30;0,4;1,4;6,4;0,8;3,6;12,1;0,9;2,8;8;5,3;9,6;32,3;43,9;41,8
"Level of educ: Unknown";"Value";"2021";23,1;20,3;85,1;67,9;14;1,2;1,7;2,7;0,5;1;5,4;0,5;1;2,9;6,9;7,6;16,6;56,4;39,5
