"Characteristics ";"Margins";"Periods";"Smoking behaviour, 12 years or older/Smoking status/Smokers (%)";"Smoking behaviour, 12 years or older/Smokers/Daily smokers in the population (%)";"Passive smoking among non-smokers/(Almost) never (%)";"Alcohol consumption, 12 years or older/Guideline alcohol use, 12 plus (%)";"Drugs use, 12 years or older/Use of cannabis/Last year (%)";"Length and weight/Under-/overweight, 4 years or older/Overweight (%)";"Nutrition, 4 years or older/Consumption of fruit/At least 5 days a week sufficient fruit (%)"
"Total persons";"Value";"2022";17,9;12,3;83,9;45,4;7,7;44,5;38,5
"Sex: Male";"Value";"2022";21,3;14,4;82,6;36,4;10,5;47,7;35,2
"Sex: Female";"Value";"2022";14,6;10,2;85,2;54,2;5;41,3;41,7
"Age: 0 to 3 years";"Value";"2022";;;96,4;;;;
"Age: 4 to 11 years";"Value";"2022";;;95,6;;;11,5;48,3
"Age: 12 to 15 years";"Value";"2022";2,9;0,9;80,9;83,7;2,8;13,8;31
"Age: 16 to 19 years";"Value";"2022";18,5;6,5;59,4;35,3;19,8;18,6;27,3
"Age: 20 to 29 years";"Value";"2022";27,8;15,5;65,4;31,9;21,8;30,7;31,1
"Age: 30 to 39 years";"Value";"2022";21,3;13,9;78,8;39,7;10,6;45,8;32,9
"Age: 40 to 49 years";"Value";"2022";20;15;85,5;45,5;5,6;53,8;37,3
"Age: 50 to 54 years";"Value";"2022";20,6;16,9;84,2;41,5;5;59,4;36,5
"Age: 55 to 64 years";"Value";"2022";18,7;14,8;87;44,6;2,6;60,9;40,3
"Age: 65 to 74 years";"Value";"2022";12,2;10,2;89,8;47,9;0,9;58,3;45,2
"Age: 75 years or older";"Value";"2022";6,5;5,1;93,6;61,3;0,4;53,5;49,9
"Age: 0 to 11 years";"Value";"2022";;;95,8;;;11,5;48,3
"Age: 12 to 17 years";"Value";"2022";6,6;2,3;74,8;67,1;7;14,6;29,9
"Age: 18 years or older";"Value";"2022";18,9;13,1;82,6;43,5;7,8;50,2;38,2
"Level of educ: 1. Low";"Value";"2022";22,4;19,5;84,2;55,9;4,8;62,3;40,1
"Level of educ: 2 Intermediate";"Value";"2022";20,3;15,1;83,2;42,5;5,2;58,1;36,6
"Level of educ: 3 High";"Value";"2022";13;7,2;87,2;37,7;6,6;42;41,2
"Level of educ: Unknown";"Value";"2022";13,9;10,8;80,6;81,2;4,4;62,3;41,7
